HotelID,DestinationID,HotelName,CheckIn,CheckOut,CostPerNight
41,41,Golden Cape Town Retreat,2024-11-03,2024-11-05,448.62
42,42,Diamond Athens Lodge,2024-11-05,2024-11-08,184.24
43,43,Palace Cape Town Plaza,2023-06-13,2023-06-18,165.72
44,44,Premier Bali Inn,2023-06-18,2023-06-21,335.73
45,45,Golden Amsterdam Inn,2023-07-10,2023-07-13,344.58
46,46,Luxury Tokyo Resort,2023-07-13,2023-07-18,128.72
47,47,Palace Cape Town Plaza,2024-03-03,2024-03-10,337.08
48,48,Diamond Barcelona Plaza,2024-03-10,2024-03-16,442.01
49,49,Premier Maldives Plaza,2024-10-01,2024-10-07,133.27
50,50,Luxury Istanbul Plaza,2024-10-07,2024-10-11,45.8
51,51,Diamond Tokyo Suites,2025-05-11,2025-05-16,152.47
52,52,Grand Vienna Plaza,2025-05-16,2025-05-18,325.94
53,53,Luxury Karachi Residences,2024-04-07,2024-04-12,82.06
54,54,Grand Cape Town Plaza,2024-04-12,2024-04-15,232.45
55,55,Palace Athens Lodge,2023-09-07,2023-09-10,115.59
56,56,Grand Cape Town Plaza,2023-09-10,2023-09-12,425.84
57,57,Palace Kuala Lumpur Inn,2023-03-30,2023-04-03,377.07
58,58,Sunset Cape Town Residences,2023-06-21,2023-06-25,70.37
59,59,Grand Tokyo Suites,2023-07-20,2023-07-23,101.17
60,60,Imperial Paris Plaza,2023-06-08,2023-06-10,74.92
61,61,Premier Prague Inn,2023-01-13,2023-01-15,268.81
62,62,Sunset Karachi Resort,2023-01-15,2023-01-17,358.03
63,63,Sunset Marrakech Residences,2024-04-16,2024-04-21,412.49
64,64,Elite Maldives Retreat,2023-08-30,2023-09-02,165.21
65,65,Imperial Rome Hotel,2023-09-02,2023-09-06,289.95
66,66,Royal Lisbon Resort,2025-05-09,2025-05-11,296.46
67,67,Elite New York Inn,2024-05-03,2024-05-06,104.39
68,68,Luxury Marrakech Inn,2024-05-06,2024-05-12,104.18
69,69,Sunset Paris Residences,2024-09-07,2024-09-13,322.64
70,70,Palace New York Plaza,2024-09-13,2024-09-15,53.38
71,71,Elite Rome Plaza,2023-04-22,2023-04-27,328.22
72,72,Palace Lisbon Inn,2025-02-04,2025-02-09,321.83
73,73,Elite Prague Resort,2025-02-09,2025-02-16,214.31
74,74,Diamond Amsterdam Resort,2024-03-08,2024-03-11,305.53
75,75,Elite Karachi Suites,2025-02-08,2025-02-11,69.28
76,76,Luxury Sydney Plaza,2024-05-21,2024-05-25,283.97
77,77,Imperial Sydney Plaza,2024-02-19,2024-02-22,220.05
78,78,Palace London Plaza,2024-02-22,2024-02-27,326.89
79,79,Elite Marrakech Residences,2024-01-24,2024-01-28,219.48
80,80,Imperial London Hotel,2023-06-12,2023-06-16,404.66
81,81,Golden Amsterdam Plaza,2023-02-15,2023-02-17,50.6
82,82,Premier Rome Hotel,2023-02-17,2023-02-20,449.82
83,83,Elite Maldives Hotel,2025-04-10,2025-04-17,352.87
84,84,Luxury Marrakech Residences,2024-02-26,2024-02-29,252.78
85,85,Palace Lahore Plaza,2024-12-26,2024-12-31,114.41
86,86,Imperial Amsterdam Retreat,2023-12-20,2023-12-25,300.26
87,87,Palace Lahore Inn,2023-12-25,2023-12-27,232.7
88,88,Sunset Lahore Lodge,2023-03-07,2023-03-12,171.63
89,89,Royal Lisbon Suites,2024-07-09,2024-07-12,175.22
90,90,Palace Istanbul Plaza,2023-02-17,2023-02-20,311.66
91,91,Sunset Lahore Hotel,2023-05-12,2023-05-18,226.48
92,92,Golden Athens Plaza,2023-05-18,2023-05-20,172.54
93,93,Sunset New York Hotel,2024-05-11,2024-05-15,309.64
94,94,Diamond Lahore Residences,2024-05-15,2024-05-20,209.43
95,95,Premier Maldives Lodge,2023-09-25,2023-09-28,295.28
96,96,Palace Athens Residences,2025-05-26,2025-05-29,351.6
97,97,Premier Karachi Plaza,2025-05-29,2025-05-31,265.18
98,98,Elite Maldives Residences,2023-04-15,2023-04-21,401.15
99,99,Palace Dubai Inn,2024-11-05,2024-11-12,51.84
100,100,Imperial Rome Resort,2024-06-18,2024-06-23,331.01
